"Date","Bank Rate"
"08-11-2011","0.5"
"09-11-2011","0.5"
"10-11-2011","0.5"
"11-11-2011","0.5"
"14-11-2011","0.5"
"15-11-2011","0.5"
"16-11-2011","0.5"
"17-11-2011","0.5"
"18-11-2011","0.5"
"21-11-2011","0.5"
"22-11-2011","0.5"
"23-11-2011","0.5"
"24-11-2011","0.5"
"25-11-2011","0.5"
"28-11-2011","0.5"
"29-11-2011","0.5"
"30-11-2011","0.5"
"01-12-2011","0.5"
"02-12-2011","0.5"
"05-12-2011","0.5"
"06-12-2011","0.5"
"07-12-2011","0.5"
"08-12-2011","0.5"
"09-12-2011","0.5"
"12-12-2011","0.5"
"13-12-2011","0.5"
"14-12-2011","0.5"
"15-12-2011","0.5"
"16-12-2011","0.5"
"19-12-2011","0.5"
"20-12-2011","0.5"
"21-12-2011","0.5"
"22-12-2011","0.5"
"23-12-2011","0.5"
"28-12-2011","0.5"
"29-12-2011","0.5"
"30-12-2011","0.5"
"03-01-2012","0.5"
"04-01-2012","0.5"
"05-01-2012","0.5"
"06-01-2012","0.5"
"09-01-2012","0.5"
"10-01-2012","0.5"
"11-01-2012","0.5"
"12-01-2012","0.5"
"13-01-2012","0.5"
"16-01-2012","0.5"
"17-01-2012","0.5"
"18-01-2012","0.5"
"19-01-2012","0.5"
"20-01-2012","0.5"
"23-01-2012","0.5"
"24-01-2012","0.5"
"25-01-2012","0.5"
"26-01-2012","0.5"
"27-01-2012","0.5"
"30-01-2012","0.5"
"31-01-2012","0.5"
"01-02-2012","0.5"
"02-02-2012","0.5"
"03-02-2012","0.5"
"06-02-2012","0.5"
"07-02-2012","0.5"
"08-02-2012","0.5"
"09-02-2012","0.5"
"10-02-2012","0.5"
"13-02-2012","0.5"
"14-02-2012","0.5"
"15-02-2012","0.5"
"16-02-2012","0.5"
"17-02-2012","0.5"
"20-02-2012","0.5"
"21-02-2012","0.5"
"22-02-2012","0.5"
"23-02-2012","0.5"
"24-02-2012","0.5"
"27-02-2012","0.5"
"28-02-2012","0.5"
"29-02-2012","0.5"
"01-03-2012","0.5"
"02-03-2012","0.5"
"05-03-2012","0.5"
"06-03-2012","0.5"
"07-03-2012","0.5"
"08-03-2012","0.5"
"09-03-2012","0.5"
"12-03-2012","0.5"
"13-03-2012","0.5"
"14-03-2012","0.5"
"15-03-2012","0.5"
"16-03-2012","0.5"
"19-03-2012","0.5"
"20-03-2012","0.5"
"21-03-2012","0.5"
"22-03-2012","0.5"
"23-03-2012","0.5"
"26-03-2012","0.5"
"27-03-2012","0.5"
"28-03-2012","0.5"
"29-03-2012","0.5"
"30-03-2012","0.5"
"02-04-2012","0.5"
"03-04-2012","0.5"
"04-04-2012","0.5"
"05-04-2012","0.5"
"10-04-2012","0.5"
"11-04-2012","0.5"
"12-04-2012","0.5"
"13-04-2012","0.5"
"16-04-2012","0.5"
"17-04-2012","0.5"
"18-04-2012","0.5"
"19-04-2012","0.5"
"20-04-2012","0.5"
"23-04-2012","0.5"
"24-04-2012","0.5"
"25-04-2012","0.5"
"26-04-2012","0.5"
"27-04-2012","0.5"
"30-04-2012","0.5"
"01-05-2012","0.5"
"02-05-2012","0.5"
"03-05-2012","0.5"
"04-05-2012","0.5"
"08-05-2012","0.5"
"09-05-2012","0.5"
"10-05-2012","0.5"
"11-05-2012","0.5"
"14-05-2012","0.5"
"15-05-2012","0.5"
"16-05-2012","0.5"
"17-05-2012","0.5"
"18-05-2012","0.5"
"21-05-2012","0.5"
